验证序号,验证目标,验证数据集,验证模型,数据划分方式,异常值剔除,预测时长,有无时间特征-日/周/月/年的整体变化趋势图,时间窗口长度,R2,MAE,RMSE,训练时间(秒),,,,,,
84,目标9: 时序分割的模型表现对比,TX2,MLP,"时序分割: 前80%训练, 后20%测试",无,1 week,加入年月日等特征,固定时间窗口-4倍,0,7,8,98.72,,,,,,
85,目标9: 时序分割的模型表现对比,TX1,RNN,"时序分割: 前80%训练, 后20%测试",无,1 hour,加入年月日等特征,固定时间窗口-4倍,-4,7,8,108,,,,,,
86,目标9: 时序分割的模型表现对比,TX1,RNN,"时序分割: 前80%训练, 后20%测试",无,1 day,加入年月日等特征,固定时间窗口-4倍,-5,7,9,74.05,,,,,,
87,目标9: 时序分割的模型表现对比,TX1,RNN,"时序分割: 前80%训练, 后20%测试",无,1 week,加入年月日等特征,固定时间窗口-4倍,-7,8,9,92.17,,,,,,
88,目标9: 时序分割的模型表现对比,TX2,RNN,"时序分割: 前80%训练, 后20%测试",无,1 hour,加入年月日等特征,固定时间窗口-4倍,0,6,8,115.48,,,,,,
89,目标9: 时序分割的模型表现对比,TX2,RNN,"时序分割: 前80%训练, 后20%测试",无,1 day,加入年月日等特征,固定时间窗口-4倍,1,5,7,89,,,,,,
90,目标9: 时序分割的模型表现对比,TX2,RNN,"时序分割: 前80%训练, 后20%测试",无,1 week,加入年月日等特征,固定时间窗口-4倍,1,5,6,88.99,,,,,,
91,目标9: 时序分割的模型表现对比,TX1,Informer,"时序分割: 前80%训练, 后20%测试",无,1 hour,加入年月日等特征,固定时间窗口-4倍,1,0,1,156,,,,,,
92,目标9: 时序分割的模型表现对比,TX1,Informer,"时序分割: 前80%训练, 后20%测试",无,1 day,加入年月日等特征,固定时间窗口-4倍,1,2,2,171.19,,,,,,
93,目标9: 时序分割的模型表现对比,TX1,Informer,"时序分割: 前80%训练, 后20%测试",无,1 week,加入年月日等特征,固定时间窗口-4倍,-1.5864,4.6125,5.5432,1046.12,,,,,,
94,目标9: 时序分割的模型表现对比,TX2,Informer,"时序分割: 前80%训练, 后20%测试",无,1 hour,加入年月日等特征,固定时间窗口-4倍,1,1,1,196.16,,,,,,
95,目标9: 时序分割的模型表现对比,TX2,Informer,"时序分割: 前80%训练, 后20%测试",无,1 day,加入年月日等特征,固定时间窗口-4倍,1,2,3,171,,,,,,
96,目标9: 时序分割的模型表现对比,TX2,Informer,"时序分割: 前80%训练, 后20%测试",无,1 week,加入年月日等特征,固定时间窗口-4倍,-1.9836,6.8681,8.1329,888.22,,,,,,
97,目标10: 时序分割/不加入时间特征的模型表现对比,TX2,RandomForest,"时序分割: 前80%训练, 后20%测试",无,1 hour,"仅使用负载特征, 不加时间",固定时间窗口-4倍,,,,,,,,,,
98,目标10: 时序分割/不加入时间特征的模型表现对比,TX2,RandomForest,"时序分割: 前80%训练, 后20%测试",无,1 day,"仅使用负载特征, 不加时间",固定时间窗口-4倍,,,,,,,,,,
99,目标10: 时序分割/不加入时间特征的模型表现对比,TX2,RandomForest,"时序分割: 前80%训练, 后20%测试",无,1 week,"仅使用负载特征, 不加时间",固定时间窗口-4倍,,,,,,,,,,
100,目标10: 时序分割/不加入时间特征的模型表现对比,TX2,MLP,"时序分割: 前80%训练, 后20%测试",无,1 hour,"仅使用负载特征, 不加时间",固定时间窗口-4倍,,,,,,,,,,
101,目标10: 时序分割/不加入时间特征的模型表现对比,TX2,MLP,"时序分割: 前80%训练, 后20%测试",无,1 day,"仅使用负载特征, 不加时间",固定时间窗口-4倍,,,,,,,,,,
102,目标10: 时序分割/不加入时间特征的模型表现对比,TX2,MLP,"时序分割: 前80%训练, 后20%测试",无,1 week,"仅使用负载特征, 不加时间",固定时间窗口-4倍,,,,,,,,,,
103,目标10: 时序分割/不加入时间特征的模型表现对比,TX2,RNN,"时序分割: 前80%训练, 后20%测试",无,1 hour,"仅使用负载特征, 不加时间",固定时间窗口-4倍,,,,,,,,,,
104,目标10: 时序分割/不加入时间特征的模型表现对比,TX2,RNN,"时序分割: 前80%训练, 后20%测试",无,1 day,"仅使用负载特征, 不加时间",固定时间窗口-4倍,,,,,,,,,,
105,目标10: 时序分割/不加入时间特征的模型表现对比,TX2,RNN,"时序分割: 前80%训练, 后20%测试",无,1 week,"仅使用负载特征, 不加时间",固定时间窗口-4倍,,,,,,,,,,
