experiment_id,transformer_id,model,split_method,feature_mode,data_suffix,test_ratio,n_features,n_train,n_test,train_time,RMSE,MAE,R2,lookback,horizon,gap,lookback_multiplier
exp_099,2,RandomForest,chronological,loads_6_only,_no_outlier,0.2,6,55072,13768,994.3588545322418,10.052251772576138,8.040941612892212,0.09590110500694704,,,,
exp_100,2,MLP,chronological,loads_6_only,_no_outlier,0.2,6,55740,13935,68.14943766593933,10.052739143371582,7.996979713439941,0.11736345291137695,,,,
exp_101,2,MLP,chronological,loads_6_only,_no_outlier,0.2,6,55648,13912,86.67880630493164,9.55361270904541,7.283931255340576,0.20099854469299316,,,,
exp_102,2,MLP,chronological,loads_6_only,_no_outlier,0.2,6,55072,13768,64.45736622810364,11.169750213623047,9.074373245239258,-0.1162877082824707,,,,
exp_103,2,RNN,chronological,loads_6_only,_no_outlier,0.2,6,55740,13935,108.27911353111267,11.04698371887207,8.564873695373535,-0.06586098670959473,,,,
exp_104,2,RNN,chronological,loads_6_only,_no_outlier,0.2,6,55648,13912,60.722222089767456,10.130632400512695,8.211438179016113,0.10156750679016113,,,,
exp_105,2,RNN,chronological,loads_6_only,_no_outlier,0.2,6,55072,13768,86.96110391616821,10.639460563659668,8.701919555664062,-0.01281118392944336,,,,
exp_106,1,LinearRegression,chronological,full,_no_outlier,0.2,21,55740,13935,0.20090818405151367,9.720553398132324,8.313480377197266,-6.952139854431152,,,,
exp_107,1,LinearRegression,chronological,full,_no_outlier,0.2,21,55648,13912,2.5162734985351562,9.841379165649414,8.43612003326416,-7.156777381896973,,,,
exp_108,1,LinearRegression,chronological,full,_no_outlier,0.2,21,55072,13768,195.00480437278748,9.66362190246582,8.273880004882812,-6.976778984069824,,,,
exp_109,2,LinearRegression,chronological,full,_no_outlier,0.2,17,55740,13935,0.1215522289276123,5.682188987731934,4.468028545379639,0.7180030345916748,,,,
exp_110,2,LinearRegression,chronological,full,_no_outlier,0.2,17,55648,13912,1.890284538269043,5.589053630828857,4.377806663513184,0.7265430688858032,,,,
exp_111,2,LinearRegression,chronological,full,_no_outlier,0.2,17,55072,13768,109.98869585990906,5.885610103607178,4.697475910186768,0.6900638341903687,,,,
exp_112,1,Informer-Long,chronological,full,_no_outlier,0.2,21,54534,13634,1684.5449323654175,6.10527287793219,5.109050507653472,-2.137465000152588,,,,
exp_113,1,Informer-Long,chronological,full,_no_outlier,0.2,21,55072,13768,2147.5034823417664,6.876273734530876,6.093009449027552,-2.979926347732544,,,,
exp_114,2,Informer-Long,chronological,full,_no_outlier,0.2,17,55340,13836,1719.8707766532898,7.284425189899907,6.09765951068993,-1.393550157546997,,,,
exp_115,2,Informer-Long,chronological,full,_no_outlier,0.2,17,54534,13634,1840.0311801433563,8.51929796830979,7.4751442993811015,-2.2738561630249023,,,,
exp_116,2,Informer-Long,chronological,full,_no_outlier,0.2,17,55072,13768,1843.580058813095,8.060124500893563,7.09967728414385,-1.9304578304290771,,,,
exp_117,2,Informer-Long,chronological,full,_no_outlier,0.2,17,55072,13768,1842.8583030700684,8.139086791703496,6.866227353520496,-1.9881565570831299,,,,
exp_118,1,Informer-Long,chronological,full,_no_outlier,0.2,21,55072,13768,6.119470596313477,,,,,,,
exp_119,1,Informer-Long,chronological,full,_no_outlier,0.2,21,55072,13768,3.1220598220825195,,,,,,,
exp_120,1,Informer-Long,chronological,full,_no_outlier,0.2,21,55072,13768,3.197324514389038,,,,,,,
exp_121,2,Informer-Long,chronological,full,_no_outlier,0.2,17,55072,13768,814.2103967666626,8.125539940416864,6.7704339613110855,-1.978217601776123,,,,
exp_122,2,Informer-Long,chronological,full,_no_outlier,0.2,17,55072,13768,1073.5073733329773,8.519249772321347,7.304269599764315,-2.2738189697265625,,,,
exp_123,2,Informer-Long,chronological,full,_no_outlier,0.2,17,55072,13768,1124.1088364124298,8.891736033580855,7.710934532499802,-2.566359281539917,,,,
exp_124,1,Informer-Long,chronological,full,_no_outlier,0.2,21,55072,13768,902.4285583496094,6.861150005835499,6.1580133851757735,-2.9624385833740234,,,,
exp_125,1,Informer-Long,chronological,full,_no_outlier,0.2,21,55072,13768,1095.6568613052368,6.006752265980388,5.092786838611199,-2.0370235443115234,,,,
exp_126,1,Informer-Long,chronological,full,_no_outlier,0.2,21,55072,13768,861.2442078590393,5.496204091331639,4.613003627352309,-1.5426959991455078,,,,
exp_127,2,Informer-Long,chronological,full,_no_outlier,0.2,17,55072,13768,852.4087889194489,8.5311599847838,7.4308728976470935,-2.2829792499542236,,,,
exp_128,2,Informer-Long,chronological,full,_no_outlier,0.2,17,55072,13768,865.2061579227448,8.008306376557265,6.952905525732056,-1.8928992748260498,,,,
exp_129,2,Informer-Long,chronological,full,_no_outlier,0.2,17,55072,13768,1057.964058637619,9.28575961289022,8.185112163701554,-2.8894379138946533,,,,
exp_130,1,Informer-Long,chronological,full,_no_outlier,0.2,21,55072,13768,1052.0224604606628,6.735937790447011,5.827581932993094,-2.819133758544922,,,,
exp_131,1,Informer-Long,chronological,full,_no_outlier,0.2,21,55072,13768,851.9501056671143,5.913065977248408,5.028148529083951,-1.9430265426635742,,,,
exp_132,1,Informer-Long,chronological,full,_no_outlier,0.2,21,55072,13768,1059.351902961731,5.666190558330861,4.74011732865444,-1.702409029006958,,,,
exp_133,2,Informer-Long,chronological,full,_no_outlier,0.2,17,55072,13768,847.4828419685364,7.8739038680254,6.524519405637742,-1.7966117858886719,,,,
exp_134,2,Informer-Long,chronological,full,_no_outlier,0.2,17,55072,13768,1060.0971598625183,8.00995462176668,6.91465136517003,-1.8940904140472412,,,,
exp_135,2,Informer-Long,chronological,full,_no_outlier,0.2,17,55072,13768,1673.61327791214,8.118392325621217,7.019931000943627,-1.972980260848999,,,,
exp_136,1,Informer-Long,chronological,full,_no_outlier,0.2,21,55072,13768,848.6209406852722,5.027904550093188,4.094205568379742,-1.1278586387634277,,,,
exp_137,2,Informer-Long,chronological,full,_no_outlier,0.2,17,55072,13768,1059.4718236923218,7.634490304657648,6.540580784784097,-1.6291298866271973,,,,
exp_test,1,RandomForest,chronological,full,_no_outlier,0.2,21,55686,13922,148.77251958847046,7.979231679563335,7.078743507986444,-4.360486498645051,,,,
